time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
8475.0,-1597_0,0.5152745640922707,2,5,9,1
8475.0,-162_0,0.534425532809552,1,0,22,1
8475.0,-1739_0,0.4934007647711854,0,3,8,1
8475.0,-1741_0,0.4235458075720454,0,1,7,1
8475.0,-1747_0,0.431925453862503,0,4,7,1
8475.0,-1994_0,0.5118534482758621,0,0,19,1
8475.0,-873_0,0.3504672897196262,0,0,6,1
8475.0,1606_0,0.5086038823429686,0,1,12,1
8475.0,1758_0,0.4672897196261683,0,0,8,1
8475.0,2158_0,0.5279041892143862,0,0,13,1
8475.0,340_0,0.533347187291813,0,0,9,1
8476.0,-1025_0,0.5257009345794393,1,3,9,1
8476.0,-1597_0,0.5257009345794393,2,5,9,1
8476.0,-162_0,0.534425532809552,1,0,22,1
8476.0,-1739_0,0.4934007647711854,0,3,8,1
8476.0,-1741_0,0.4235458075720454,0,1,7,1
8476.0,-1747_0,0.400199027233486,0,4,7,1
8476.0,-1994_0,0.5118534482758621,0,0,19,1
8476.0,-873_0,0.3504672897196262,0,0,6,1
8476.0,1606_0,0.5086038823429686,0,1,12,1
8476.0,1758_0,0.4672897196261683,0,0,8,1
8476.0,2158_0,0.5279041892143862,0,0,13,1
8476.0,340_0,0.533347187291813,0,0,9,1
8477.0,-1025_0,0.5257009345794393,1,3,9,1
8477.0,-1597_0,0.5257009345794393,2,5,9,1
8477.0,-162_0,0.534425532809552,1,0,22,1
8477.0,-1739_0,0.4934007647711854,0,3,8,1
8477.0,-1741_0,0.4235458075720454,0,1,7,1
8477.0,-1747_0,0.4001371898936778,0,4,7,1
8477.0,-1994_0,0.5118534482758621,0,0,19,1
8477.0,-873_0,0.3504672897196262,0,0,6,1
8477.0,1606_0,0.5086038823429686,0,1,12,1
8477.0,1758_0,0.4672897196261683,0,0,8,1
8477.0,2158_0,0.5279041892143862,0,0,13,1
8477.0,340_0,0.533347187291813,0,0,9,1
8478.0,-1025_0,0.5257009345794393,1,3,9,1
8478.0,-162_0,0.534425532809552,1,0,22,1
8478.0,-1739_0,0.4934007647711854,0,3,8,1
8478.0,-1741_0,0.4235458075720454,0,1,7,1
8478.0,-1747_0,0.4174196155262044,1,5,7,1
8478.0,-1994_0,0.5118534482758621,0,0,19,1
8478.0,-873_0,0.3504672897196262,0,0,6,1
8478.0,1606_0,0.5086038823429686,0,1,12,1
8478.0,1758_0,0.4672897196261683,0,0,8,1
8478.0,2158_0,0.5279041892143862,0,0,13,1
8478.0,340_0,0.533347187291813,0,0,9,1
8479.0,-1025_0,0.5257009345794393,1,3,9,1
8479.0,-162_0,0.534425532809552,1,0,22,1
8479.0,-1741_0,0.4235458075720454,0,1,7,1
8479.0,-1747_0,0.4001371898936778,1,5,7,1
8479.0,-1994_0,0.5118534482758621,0,0,19,1
8479.0,-873_0,0.3504672897196262,0,0,6,1
8479.0,1606_0,0.5086038823429686,0,1,12,1
8479.0,1758_0,0.4672897196261683,0,0,8,1
8479.0,2158_0,0.5279041892143862,0,0,13,1
8479.0,340_0,0.533347187291813,0,0,9,1
8480.0,-1025_0,0.5257009345794393,1,3,9,1
8480.0,-162_0,0.534425532809552,1,0,22,1
8480.0,-1741_0,0.4235458075720454,0,1,7,1
8480.0,-1747_0,0.4001371898936778,1,5,7,1
8480.0,-1994_0,0.5118534482758621,0,0,19,1
8480.0,-873_0,0.3504672897196262,0,0,6,1
8480.0,1606_0,0.5086038823429686,0,1,12,1
8480.0,1758_0,0.4672897196261683,0,0,8,1
8480.0,2158_0,0.5279041892143862,0,0,13,1
8480.0,340_0,0.533347187291813,0,0,9,1
